system,composition,steps,job,atoms,enthalpy,enthalpy/atoms
Zr-Cu,Cu0.02,667,job5,19652,-121051.55,-6.1597572766130675
Zr-Cu,Cu0.02,667,job3,19652,-121044.62,-6.159404640749033
Zr-Cu,Cu0.02,667,job7,19652,-121030.7,-6.1586963158966
Zr-Cu,Cu0.02,667,job8,19652,-121014.37,-6.157865357215551
Zr-Cu,Cu0.02,667,job10,19652,-121057.78,-6.160074292692856
Zr-Cu,Cu0.02,667,job2,19652,-121012.21,-6.1577554447384495
Zr-Cu,Cu0.02,667,job9,19652,-121016.82,-6.1579900264604115
Zr-Cu,Cu0.02,667,job1,19652,-121020.55,-6.158179829025036
Zr-Cu,Cu0.02,667,job4,19652,-121027.19,-6.158517708121311
Zr-Cu,Cu0.02,667,job6,19652,-121064.55,-6.16041878689192
Zr-Cu,Cu0.98,667,job5,19652,-69000.287,-3.5111076226338285
Zr-Cu,Cu0.98,667,job3,19652,-69000.757,-3.5111315387746793
Zr-Cu,Cu0.98,667,job7,19652,-69021.778,-3.5122012008955834
Zr-Cu,Cu0.98,667,job8,19652,-69007.151,-3.5114569000610625
Zr-Cu,Cu0.98,667,job10,19652,-69041.744,-3.513217178913088
Zr-Cu,Cu0.98,667,job2,19652,-69041.187,-3.5131888357419094
Zr-Cu,Cu0.98,667,job9,19652,-69014.148,-3.511812945247303
Zr-Cu,Cu0.98,667,job1,19652,-69021.403,-3.5121821188683087
Zr-Cu,Cu0.98,667,job4,19652,-68997.143,-3.5109476389171586
Zr-Cu,Cu0.98,667,job6,19652,-69039.649,-3.5131105739873805
Zr-Cu,Cu0.00,667,job5,19652,-122074.97,-6.211834418888663
Zr-Cu,Cu0.00,667,job3,19652,-122030.07,-6.20954966415632
Zr-Cu,Cu0.00,667,job7,19652,-122077.75,-6.211975880317525
Zr-Cu,Cu0.00,667,job8,19652,-122073.71,-6.211770303277021
Zr-Cu,Cu0.00,667,job10,19652,-122094.05,-6.212805312436394
Zr-Cu,Cu0.00,667,job2,19652,-122089.14,-6.212555465092612
Zr-Cu,Cu0.00,667,job9,19652,-122081.69,-6.212176368817423
Zr-Cu,Cu0.00,667,job1,19652,-122079.16,-6.212047628740078
Zr-Cu,Cu0.00,667,job4,19652,-122072.65,-6.21171636474659
