system,composition,steps,atoms_mean,enthalpy_mean,enthalpy/atoms_mean,atoms_sem,enthalpy_sem,enthalpy/atoms_sem,atoms_count,enthalpy_count,enthalpy/atoms_count
Al-Ag,Ag0.00,667,19652,-64518.0213,-3.283025712395685,0.0,5.898420494882588,0.0003001435220273587,10,10,10
Al-Ag,Ag0.01,667,19652,-64448.80530000001,-3.279503628129452,0.0,6.669293159364904,0.0003393696905844578,10,10,10
Al-Ag,Ag0.02,667,19652,-64387.287599999996,-3.276373274984734,0.0,9.357738881921126,0.0004761723428619147,10,10,10
Al-Ag,Ag0.04,667,19652,-64241.138600000006,-3.268936423773662,0.0,8.11650228060761,0.00041301151438059147,10,10,10
Al-Ag,Ag0.06,667,19652,-64129.85440000001,-3.2632736820679833,0.0,11.914535243605105,0.0006062759639530352,10,10,10
Al-Ag,Ag0.08,667,19652,-63992.221,-3.2562701506208023,0.0,9.601475342651415,0.0004885749716391267,10,10,10
Al-Ag,Ag0.10,667,19652,-63859.19859999999,-3.24950125178099,0.0,8.41346041134933,0.0004281223494478225,10,10,10
Al-Ag,Ag0.90,667,19652,-56288.04059999999,-2.864239802564624,0.0,14.06081277340978,0.0007154901675864262,10,10,10
Al-Ag,Ag0.92,667,19652,-55979.3816,-2.8485335640138407,0.0,15.172231760833226,0.0007720451740704991,10,10,10
Al-Ag,Ag0.94,667,19652,-55624.8085,-2.8304909678404235,0.0,3.7824528028186997,0.00019247164679516628,10,10,10
Al-Ag,Ag0.96,667,19652,-55274.7296,-2.8126770608589453,0.0,5.757067953972956,0.0002929507405848271,10,10,10
Al-Ag,Ag0.98,667,19652,-54923.126000000004,-2.7947855688988397,0.0,12.399475773865515,0.0006309523597530311,10,10,10
Al-Ag,Ag0.99,667,19652,-54741.1831,-2.785527330551598,0.0,14.544779746585633,0.0007401170235388653,10,10,10
Al-Ag,Ag1.00,667,19652,-54561.40089999999,-2.776379040301242,0.0,9.258610676254772,0.00047112816386394744,10,10,10
Al-Sm,Sm0.00,667,19652,-75045.97989999999,-3.818745160797883,0.0,12.179845476533089,0.0006197763828889429,10,10,10
Al-Sm,Sm0.01,667,19652,-75588.58729999998,-3.8463559586810505,0.0,9.63128041684049,0.0004900916149419317,10,10,10
Al-Sm,Sm0.02,667,19652,-76108.9928,-3.8728370038672906,0.0,11.09791600436836,0.0005647219623635127,10,10,10
Cu-Al,Al0.98,667,19652,-65183.778399999996,-3.3169030327702003,0.0,4.424388857232101,0.0002251368235921869,10,10,10
Cu-Al,Al0.99,667,19652,-64902.0674,-3.3025680541420726,0.0,6.468377598748968,0.00032914602069757874,10,10,10
Cu-Al,Al1.00,667,19652,-64662.1982,-3.290362212497455,0.0,9.047040566825196,0.00046036233293436174,10,10,10
Cu-Ni,Ni0.00,667,19652,-67810.53559999999,-3.4505666395277834,0.0,4.56747023635733,0.00023241757766919723,10,10,10
Cu-Ni,Ni0.01,667,19652,-67955.62620000001,-3.457949633625076,0.0,6.8168458848497195,0.0003468779709367252,10,10,10
Cu-Ni,Ni0.02,667,19652,-68095.48140000002,-3.4650662222674535,0.0,9.950685226210066,0.0005063446583661082,10,10,10
Cu-Ni,Ni0.04,667,19652,-68403.4107,-3.4807353297374313,0.0,9.714863405056136,0.0004943447692375066,10,10,10
Cu-Ni,Ni0.06,667,19652,-68716.2971,-3.4966566812538162,0.0,6.294558041939666,0.0003203011419671722,10,10,10
Cu-Ni,Ni0.08,667,19652,-69046.4013,-3.5134541675147566,0.0,4.137530672730619,0.0002105399283905311,10,10,10
Cu-Ni,Ni0.10,667,19652,-69355.67360000001,-3.52919161408508,0.0,4.441995895742032,0.00022603276489620153,10,10,10
Cu-Ni,Ni0.90,667,19652,-82998.65819999999,-4.2234204254019945,0.0,9.344245221049139,0.0004754857124491018,10,10,10
Cu-Ni,Ni0.92,667,19652,-83346.9468,-4.241143232240994,0.0,8.221390705281188,0.0004183488044617969,10,10,10
Cu-Ni,Ni0.94,667,19652,-83688.0182,-4.258498788927335,0.0,6.417910654826725,0.00032657798976318443,10,10,10
