system,composition,mixing_enthalpy/atom
Al-Ag,Ag0.00,0.08150715957663301
Al-Ag,Ag0.01,0.07996309281498082
Al-Ag,Ag0.02,0.07802729493181415
Al-Ag,Ag0.04,0.07533184408711513
Al-Ag,Ag0.06,0.07086228373702319
Al-Ag,Ag0.08,0.0677335131284349
Al-Ag,Ag0.10,0.06437010991247627
Al-Ag,Ag0.90,0.0443394768980272
Al-Ag,Ag0.92,0.049913413393038564
Al-Ag,Ag0.94,0.05782370751068555
Al-Ag,Ag0.96,0.06550531243639357
Al-Ag,Ag0.98,0.07326450234072812
Al-Ag,Ag0.99,0.0774565896600854
Al-Ag,Ag1.00,0.0815387288825562
Al-Sm,Sm0.00,0.08640444229594957
Al-Sm,Sm0.01,0.06863935986159175
Al-Sm,Sm0.02,0.052004030124161105
Cu-Al,Al0.98,0.04134732342764247
Cu-Al,Al0.99,0.053798626094035296
Cu-Al,Al1.00,0.06412079177691954
Cu-Ni,Ni0.00,0.09015695094646858
Cu-Ni,Ni0.01,0.09194126806431901
Cu-Ni,Ni0.02,0.09399199063708563
Cu-Ni,Ni0.04,0.09665750559739417
Cu-Ni,Ni0.06,0.09907077651129725
Cu-Ni,Ni0.08,0.10060791268064362
Cu-Ni,Ni0.10,0.10320508854060728
Cu-Ni,Ni0.90,0.14236117443517227
Cu-Ni,Ni0.92,0.14297299002646024
Cu-Ni,Ni0.94,0.1439520557704057
Cu-Ni,Ni0.96,0.14141913800122108
Cu-Ni,Ni0.98,0.14065083452065963
Cu-Ni,Ni0.99,0.1397981732139213
Cu-Ni,Ni1.00,0.1403850346020752
La-Al,Al0.00,0.0491277172806841
La-Al,Al0.01,0.03927367697944195
La-Al,Al0.02,0.024093395074292978
La-Al,Al0.98,0.03512231833910073
La-Al,Al0.99,0.04869385304294749
La-Al,Al1.00,0.07327352432322387
Mg-Cu,Cu0.00,0.0659783126399347
Mg-Cu,Cu0.01,0.06267078668837822
Mg-Cu,Cu0.02,0.057675035619784376
Mg-Cu,Cu0.90,0.035088764502339664
Mg-Cu,Cu0.92,0.05053118257683753
Mg-Cu,Cu0.94,0.06203223590474316
Mg-Cu,Cu0.96,0.07243714125788747
Mg-Cu,Cu0.98,0.08321199877875074
Mg-Cu,Cu0.99,0.08784955729696797
Mg-Cu,Cu1.00,0.09388038367596163
Mg-Y,Y0.00,0.06818047526969262
Mg-Y,Y0.01,0.06411971809485029
Mg-Y,Y0.02,0.059029040301241675
Mg-Y,Y0.90,0.07722403317728421
Mg-Y,Y0.92,0.08657292896397362
Mg-Y,Y0.94,0.09408688174231639
Mg-Y,Y0.96,0.0990716975371484
Mg-Y,Y0.98,0.10367251679218459
Mg-Y,Y0.99,0.10497806330144588
Mg-Y,Y1.00,0.11157898941583522
Ni-Zr,Zr0.00,0.10753163036841151
Ni-Zr,Zr0.01,0.07993107062894644
Ni-Zr,Zr0.02,0.05047153979238672
Ni-Zr,Zr0.04,-0.003535451862406447
Ni-Zr,Zr0.06,-0.05691500610624889
Ni-Zr,Zr0.08,-0.10845704762873787
Ni-Zr,Zr0.10,-0.15656037044575655
Ni-Zr,Zr0.90,-0.003561723997558275
Ni-Zr,Zr0.92,0.016870852839406147
Ni-Zr,Zr0.94,0.03728892733564049
Ni-Zr,Zr0.96,0.05715148585385599
Ni-Zr,Zr0.98,0.07913845918990337
Ni-Zr,Zr0.99,0.09165886423773717
Ni-Zr,Zr1.00,0.10414726236515381
Pd-Si,Si0.00,0.10989415326684293
Pd-Si,Si0.01,0.07364401587624769
Pd-Si,Si0.02,0.036021259922653925
Pd-Si,Si0.04,-0.036201791166293074
Pd-Si,Si0.06,-0.11015649806635475
Pd-Si,Si0.08,-0.18510923570120008
Pd-Si,Si0.10,-0.25822605332790527
Pd-Si,Si0.98,-0.5635063912070004
Pd-Si,Si0.99,-0.5572392173824543
Pd-Si,Si1.00,-0.5498534652961529
Zr-Al,Al0.00,0.1391561673112136
Zr-Al,Al0.01,0.12888550783635289
Zr-Al,Al0.02,0.11866171382047686
Zr-Al,Al0.04,0.0965201506208011
Zr-Al,Al0.06,0.07494153266843107
Zr-Al,Al0.08,0.054630622837370524
Zr-Al,Al0.10,0.03209744555261462
Zr-Al,Al0.90,-0.024686510278850715
Zr-Al,Al0.92,-0.005636474659068025
Zr-Al,Al0.94,0.016628979238754393
Zr-Al,Al0.96,0.04473246997761082
Zr-Al,Al0.98,0.0742850854874817
Zr-Al,Al0.99,0.08943426114390363
Zr-Al,Al1.00,0.10013955322613466
Zr-Cu,Cu0.00,0.10630424384286474
Zr-Cu,Cu0.01,0.10356187665377625
Zr-Cu,Cu0.02,0.10373081620191371
Zr-Cu,Cu0.04,0.09824862609403606
Zr-Cu,Cu0.06,0.09317911662935074
Zr-Cu,Cu0.08,0.0892060350091608
Zr-Cu,Cu0.10,0.08464746590677752
Zr-Cu,Cu0.90,0.05623619478933506
Zr-Cu,Cu0.92,0.05835468145735767
Zr-Cu,Cu0.94,0.06433609810706375
Zr-Cu,Cu0.96,0.07402346834927709
Zr-Cu,Cu0.98,0.08469994402605296
Zr-Cu,Cu0.99,0.09054872277630777
Zr-Cu,Cu1.00,0.09133576226338347
